id,instrument_1,instrument_2
0,keyboard_electronic_069-057-050,flute_acoustic_002-067-025
1,keyboard_synthetic_000-052-100,guitar_electronic_028-077-050
2,guitar_electronic_022-071-100,string_acoustic_014-061-127
3,string_acoustic_071-052-075,flute_synthetic_000-057-025
4,flute_synthetic_000-072-100,string_acoustic_056-050-050
5,string_acoustic_057-078-127,flute_acoustic_002-078-025
6,string_acoustic_056-067-025,keyboard_electronic_078-080-100
7,guitar_acoustic_021-084-100,string_acoustic_014-058-100
8,keyboard_electronic_003-048-025,string_acoustic_057-062-050
9,string_acoustic_012-049-050,flute_synthetic_000-052-050
10,keyboard_electronic_098-067-075,flute_acoustic_002-080-050
11,keyboard_electronic_098-065-100,string_acoustic_057-060-127
12,guitar_acoustic_015-070-025,flute_acoustic_002-069-025
13,string_acoustic_057-079-025,keyboard_electronic_003-048-127
14,flute_acoustic_002-077-100,string_acoustic_056-056-075
15,flute_synthetic_000-049-025,keyboard_electronic_001-072-100
16,keyboard_acoustic_004-081-075,flute_synthetic_000-050-050
17,guitar_acoustic_014-060-127,keyboard_electronic_069-074-075
18,string_acoustic_057-068-100,guitar_acoustic_010-077-127
19,string_acoustic_057-071-100,flute_synthetic_000-050-050
20,keyboard_electronic_069-077-100,guitar_acoustic_010-061-025
21,string_acoustic_014-064-075,guitar_acoustic_010-072-050
22,keyboard_electronic_069-069-100,guitar_acoustic_010-053-100
23,keyboard_electronic_078-058-025,string_acoustic_056-061-075
24,flute_synthetic_000-063-075,guitar_electronic_022-050-127
25,flute_acoustic_002-079-127,keyboard_electronic_001-084-050
26,flute_synthetic_000-079-127,string_acoustic_056-063-127
27,flute_synthetic_000-062-025,guitar_electronic_022-058-075
28,flute_synthetic_000-072-100,string_acoustic_014-058-100
29,keyboard_electronic_003-060-075,string_acoustic_057-058-127
30,flute_acoustic_002-073-127,keyboard_electronic_069-081-075
31,string_acoustic_057-063-075,guitar_acoustic_021-061-025
32,keyboard_acoustic_004-057-075,flute_synthetic_000-083-127
33,keyboard_electronic_078-051-127,guitar_acoustic_014-066-050
34,string_acoustic_014-058-100,keyboard_electronic_003-064-050
35,keyboard_electronic_001-061-075,string_acoustic_014-059-050
36,guitar_electronic_022-082-050,flute_synthetic_000-052-025
37,flute_acoustic_002-077-025,string_acoustic_056-064-100
38,string_acoustic_012-052-127,flute_synthetic_000-057-100
39,flute_synthetic_000-054-025,guitar_acoustic_010-074-100
40,flute_synthetic_000-061-075,guitar_acoustic_021-076-050
41,guitar_electronic_022-058-075,string_acoustic_056-076-025
42,flute_synthetic_000-055-050,string_acoustic_080-051-127
43,string_acoustic_057-079-025,keyboard_synthetic_000-082-127
44,guitar_electronic_022-083-075,string_acoustic_057-055-100
45,keyboard_synthetic_000-062-050,string_acoustic_056-061-100
46,flute_acoustic_002-083-100,string_acoustic_056-059-075
47,flute_synthetic_000-072-025,guitar_acoustic_030-064-025
48,flute_acoustic_002-074-025,keyboard_acoustic_004-079-075
49,flute_synthetic_000-057-100,keyboard_electronic_098-075-127
50,guitar_electronic_028-068-050,string_acoustic_057-083-127
51,flute_acoustic_002-078-025,keyboard_electronic_078-080-075
52,string_acoustic_014-061-100,keyboard_synthetic_000-064-025
53,string_acoustic_014-049-100,keyboard_electronic_001-051-025
54,flute_acoustic_002-068-050,keyboard_synthetic_000-064-025
55,guitar_acoustic_010-052-100,string_acoustic_057-064-025
56,flute_synthetic_000-072-075,keyboard_electronic_078-069-100
57,guitar_acoustic_010-074-075,keyboard_acoustic_004-075-100
58,keyboard_electronic_003-083-100,flute_synthetic_000-049-050
59,string_acoustic_014-055-025,guitar_acoustic_021-065-127
60,keyboard_electronic_098-068-127,guitar_electronic_022-077-127
61,flute_synthetic_000-053-025,string_acoustic_014-061-025
62,string_acoustic_057-068-100,keyboard_acoustic_004-082-100
63,keyboard_electronic_078-060-075,flute_acoustic_002-067-050
64,string_acoustic_057-073-127,guitar_electronic_028-082-127
65,flute_synthetic_000-072-100,guitar_acoustic_014-057-100
66,guitar_acoustic_015-056-050,keyboard_electronic_069-064-127
67,string_acoustic_057-077-075,guitar_acoustic_015-052-100
68,guitar_acoustic_015-049-050,string_acoustic_057-084-127
69,keyboard_electronic_078-056-050,guitar_electronic_022-059-050
70,flute_synthetic_000-060-025,keyboard_synthetic_000-063-050
71,flute_synthetic_000-052-050,guitar_acoustic_010-077-075
72,keyboard_electronic_002-048-127,string_acoustic_014-059-075
73,guitar_acoustic_010-053-100,keyboard_electronic_001-072-127
74,string_acoustic_057-071-075,guitar_acoustic_030-073-050
75,flute_synthetic_000-052-127,guitar_acoustic_010-063-050
76,keyboard_electronic_078-049-100,guitar_acoustic_015-062-050
77,keyboard_electronic_078-066-025,string_acoustic_056-071-100
78,string_acoustic_056-069-025,keyboard_electronic_078-052-050
79,keyboard_electronic_002-075-127,string_acoustic_014-062-127
80,string_acoustic_014-061-100,keyboard_acoustic_004-071-050
81,keyboard_electronic_069-061-050,string_acoustic_056-074-100
82,string_acoustic_071-049-025,keyboard_electronic_002-063-050
83,guitar_electronic_028-077-127,string_acoustic_056-078-127
84,keyboard_electronic_098-068-100,flute_synthetic_000-063-075
85,string_acoustic_056-050-050,guitar_acoustic_021-057-127
86,string_acoustic_056-062-127,guitar_acoustic_021-074-025
87,flute_synthetic_000-061-050,guitar_acoustic_015-054-100
88,flute_synthetic_000-076-025,guitar_acoustic_014-081-025
89,keyboard_electronic_003-063-025,flute_synthetic_000-061-050
90,guitar_acoustic_021-074-127,flute_synthetic_000-071-127
91,string_acoustic_057-062-050,flute_acoustic_002-080-050
92,guitar_acoustic_021-082-100,keyboard_acoustic_004-081-050
93,guitar_acoustic_021-084-050,string_acoustic_012-055-025
94,string_acoustic_080-049-127,flute_synthetic_000-083-127
95,guitar_electronic_028-066-075,keyboard_electronic_001-075-025
96,flute_synthetic_000-073-127,guitar_acoustic_010-080-075
97,keyboard_electronic_078-071-127,flute_synthetic_000-052-127
98,keyboard_acoustic_004-051-075,flute_acoustic_002-079-127
99,flute_synthetic_000-057-050,string_acoustic_057-078-025
100,flute_synthetic_000-049-050,keyboard_electronic_098-067-075
101,string_acoustic_057-055-100,guitar_acoustic_021-076-050
102,guitar_acoustic_010-077-127,string_acoustic_071-052-127
103,keyboard_electronic_078-062-050,string_acoustic_056-079-127
104,guitar_electronic_022-064-127,string_acoustic_057-072-050
105,string_acoustic_014-053-050,keyboard_synthetic_000-056-075
106,guitar_acoustic_015-060-025,flute_synthetic_000-061-050
107,string_acoustic_057-058-127,keyboard_electronic_078-080-075
108,string_acoustic_080-054-050,flute_acoustic_002-067-050
109,keyboard_synthetic_000-077-050,flute_synthetic_000-062-075
110,string_acoustic_056-053-025,keyboard_electronic_069-052-127
111,string_acoustic_012-049-025,guitar_acoustic_021-061-075
112,flute_acoustic_002-081-075,string_acoustic_057-061-100
113,string_acoustic_056-071-100,keyboard_acoustic_004-061-025
114,flute_acoustic_002-071-127,guitar_acoustic_014-052-025
115,flute_synthetic_000-072-100,string_acoustic_057-070-050
116,string_acoustic_014-063-050,keyboard_electronic_003-063-127
117,string_acoustic_057-079-025,keyboard_electronic_098-079-025
118,guitar_acoustic_030-073-050,string_acoustic_057-064-025
119,flute_synthetic_000-072-025,keyboard_electronic_003-048-127
120,guitar_acoustic_021-051-100,string_acoustic_057-058-127
121,keyboard_synthetic_000-064-025,guitar_acoustic_014-064-025
122,guitar_electronic_022-076-075,flute_synthetic_000-053-127
123,keyboard_electronic_001-072-050,guitar_electronic_028-072-050
124,flute_acoustic_002-072-127,string_acoustic_056-071-075
125,keyboard_acoustic_004-061-025,flute_synthetic_000-071-127
126,keyboard_synthetic_000-061-127,guitar_electronic_022-077-100
127,flute_synthetic_000-058-100,keyboard_electronic_098-082-025
128,string_acoustic_014-050-127,guitar_acoustic_021-077-100
129,keyboard_electronic_002-076-025,guitar_acoustic_021-082-127
130,flute_synthetic_000-075-075,keyboard_electronic_078-064-075
131,flute_acoustic_002-075-100,string_acoustic_056-050-050
132,keyboard_acoustic_004-066-025,guitar_acoustic_030-064-025
133,string_acoustic_012-051-127,guitar_acoustic_030-049-025
134,string_acoustic_056-067-127,keyboard_acoustic_004-081-075
135,string_acoustic_057-070-050,keyboard_acoustic_004-070-050
136,string_acoustic_071-055-050,keyboard_electronic_098-078-075
137,keyboard_electronic_078-083-025,string_acoustic_056-071-127
138,guitar_acoustic_014-076-025,flute_synthetic_000-072-050
139,string_acoustic_057-061-050,guitar_acoustic_021-053-025
140,flute_synthetic_000-081-075,string_acoustic_056-061-100
141,keyboard_electronic_078-078-050,flute_synthetic_000-062-025
142,flute_synthetic_000-053-025,guitar_electronic_028-076-025
143,string_acoustic_057-079-050,guitar_acoustic_015-084-127
144,string_acoustic_056-055-100,keyboard_electronic_098-079-025
145,string_acoustic_057-071-100,keyboard_synthetic_000-073-025
146,guitar_electronic_022-082-050,flute_acoustic_002-075-100
147,flute_synthetic_000-083-050,keyboard_synthetic_000-058-050
148,string_acoustic_057-067-100,keyboard_electronic_078-079-100
149,guitar_electronic_028-082-050,flute_synthetic_000-049-100
150,flute_acoustic_002-080-050,keyboard_electronic_003-049-100
151,string_acoustic_057-077-075,flute_acoustic_002-078-050
152,guitar_acoustic_010-076-127,keyboard_acoustic_004-054-075
153,flute_synthetic_000-072-075,string_acoustic_012-049-025
154,guitar_acoustic_010-083-025,string_acoustic_012-049-050
155,string_acoustic_056-069-025,guitar_acoustic_021-055-100
