qualities,pitch,note,instrument_source_str,velocity,instrument_str,instrument,sample_rate,qualities_str,instrument_source,note_str,instrument_family,instrument_family_str
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",49,217499,synthetic,25,bass_synthetic_068,656,16000,['dark'],2,bass_synthetic_068-049-025,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21,299359,electronic,127,keyboard_electronic_001,40,16000,[],1,keyboard_electronic_001-021-127,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",66,72288,acoustic,100,guitar_acoustic_010,219,16000,[],0,guitar_acoustic_010-066-100,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",68,22259,acoustic,127,reed_acoustic_037,387,16000,['reverb'],0,reed_acoustic_037-068-127,7,reed
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",77,72001,acoustic,100,flute_acoustic_002,86,16000,['reverb'],0,flute_acoustic_002-077-100,2,flute
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",47,45336,acoustic,75,string_acoustic_056,436,16000,"['fast_decay', 'reverb']",0,string_acoustic_056-047-075,8,string
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",88,22833,synthetic,25,vocal_synthetic_003,37,16000,"['bright', 'distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-088-025,10,vocal
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",101,80852,acoustic,50,brass_acoustic_046,414,16000,['long_release'],0,brass_acoustic_046-101-050,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",70,19884,acoustic,50,guitar_acoustic_014,263,16000,[],0,guitar_acoustic_014-070-050,3,guitar
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",63,83687,acoustic,50,string_acoustic_014,100,16000,"['fast_decay', 'percussive', 'reverb']",0,string_acoustic_014-063-050,8,string
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",41,78888,synthetic,75,bass_synthetic_033,417,16000,['dark'],2,bass_synthetic_033-041-075,0,bass
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",63,51390,electronic,75,keyboard_electronic_001,40,16000,['dark'],1,keyboard_electronic_001-063-075,4,keyboard
"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",23,234194,electronic,50,keyboard_electronic_098,905,16000,"['dark', 'distortion']",1,keyboard_electronic_098-023-050,4,keyboard
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",84,244950,synthetic,50,bass_synthetic_068,656,16000,['fast_decay'],2,bass_synthetic_068-084-050,0,bass
"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",66,125499,acoustic,50,mallet_acoustic_062,644,16000,"['dark', 'fast_decay', 'multiphonic']",0,mallet_acoustic_062-066-050,5,mallet
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",86,46930,electronic,100,guitar_electronic_028,510,16000,[],1,guitar_electronic_028-086-100,3,guitar
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",53,37336,synthetic,25,flute_synthetic_000,82,16000,['distortion'],2,flute_synthetic_000-053-025,2,flute
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",68,4406,acoustic,127,guitar_acoustic_015,316,16000,['reverb'],0,guitar_acoustic_015-068-127,3,guitar
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",56,254994,electronic,127,organ_electronic_057,701,16000,['dark'],1,organ_electronic_057-056-127,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",81,213923,electronic,127,organ_electronic_113,958,16000,[],1,organ_electronic_113-081-127,6,organ
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",60,248525,electronic,127,organ_electronic_001,8,16000,['dark'],1,organ_electronic_001-060-127,6,organ
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",90,106733,synthetic,75,bass_synthetic_009,150,16000,['long_release'],2,bass_synthetic_009-090-075,0,bass
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",71,160428,synthetic,100,bass_synthetic_135,927,16000,['distortion'],2,bass_synthetic_135-071-100,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",58,238825,acoustic,127,keyboard_acoustic_004,327,16000,['reverb'],0,keyboard_acoustic_004-058-127,4,keyboard
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",90,116676,acoustic,75,guitar_acoustic_015,316,16000,"['fast_decay', 'percussive', 'reverb']",0,guitar_acoustic_015-090-075,3,guitar
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",43,210863,synthetic,100,bass_synthetic_033,417,16000,['dark'],2,bass_synthetic_033-043-100,0,bass
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",52,194510,electronic,127,keyboard_electronic_069,805,16000,['distortion'],1,keyboard_electronic_069-052-127,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",38,119717,acoustic,75,guitar_acoustic_015,316,16000,['reverb'],0,guitar_acoustic_015-038-075,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",85,267566,synthetic,50,bass_synthetic_033,417,16000,[],2,bass_synthetic_033-085-050,0,bass
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",23,57781,electronic,75,guitar_electronic_028,510,16000,['dark'],1,guitar_electronic_028-023-075,3,guitar
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",83,157009,acoustic,50,mallet_acoustic_062,644,16000,"['fast_decay', 'multiphonic']",0,mallet_acoustic_062-083-050,5,mallet
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",55,218107,synthetic,127,bass_synthetic_098,803,16000,['distortion'],2,bass_synthetic_098-055-127,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25,225126,electronic,25,bass_electronic_027,880,16000,[],1,bass_electronic_027-025-025,0,bass
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",105,25438,acoustic,100,flute_acoustic_002,86,16000,"['bright', 'reverb']",0,flute_acoustic_002-105-100,2,flute
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",68,76159,acoustic,50,reed_acoustic_037,387,16000,['reverb'],0,reed_acoustic_037-068-050,7,reed
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",64,277141,electronic,25,organ_electronic_113,958,16000,[],1,organ_electronic_113-064-025,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",84,271861,electronic,50,organ_electronic_113,958,16000,[],1,organ_electronic_113-084-050,6,organ
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",27,276779,synthetic,75,bass_synthetic_135,927,16000,['distortion'],2,bass_synthetic_135-027-075,0,bass
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",32,54475,acoustic,127,reed_acoustic_037,387,16000,"['long_release', 'reverb']",0,reed_acoustic_037-032-127,7,reed
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",102,159634,acoustic,127,guitar_acoustic_030,642,16000,"['fast_decay', 'percussive', 'tempo-synced']",0,guitar_acoustic_030-102-127,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",45,173319,acoustic,25,guitar_acoustic_021,457,16000,[],0,guitar_acoustic_021-045-025,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",81,173442,electronic,75,organ_electronic_001,8,16000,[],1,organ_electronic_001-081-075,6,organ
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",102,183127,synthetic,100,bass_synthetic_134,914,16000,"['fast_decay', 'percussive', 'reverb']",2,bass_synthetic_134-102-100,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",48,194991,electronic,75,bass_electronic_025,872,16000,[],1,bass_electronic_025-048-075,0,bass
"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",37,300808,electronic,50,keyboard_electronic_098,905,16000,"['dark', 'distortion']",1,keyboard_electronic_098-037-050,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",72,289123,electronic,75,keyboard_electronic_002,50,16000,[],1,keyboard_electronic_002-072-075,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",38,1014,acoustic,100,reed_acoustic_037,387,16000,['reverb'],0,reed_acoustic_037-038-100,7,reed
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",42,185780,synthetic,75,bass_synthetic_068,656,16000,['dark'],2,bass_synthetic_068-042-075,0,bass
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",96,124189,acoustic,50,flute_acoustic_002,86,16000,"['long_release', 'reverb']",0,flute_acoustic_002-096-050,2,flute
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",40,238845,synthetic,50,bass_synthetic_068,656,16000,['dark'],2,bass_synthetic_068-040-050,0,bass
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",104,191154,acoustic,100,guitar_acoustic_015,316,16000,"['fast_decay', 'percussive', 'reverb']",0,guitar_acoustic_015-104-100,3,guitar
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",92,234988,synthetic,50,bass_synthetic_135,927,16000,['distortion'],2,bass_synthetic_135-092-050,0,bass
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",84,251453,synthetic,50,keyboard_synthetic_000,577,16000,"['distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-084-050,4,keyboard
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",96,111165,acoustic,100,guitar_acoustic_021,457,16000,"['fast_decay', 'percussive']",0,guitar_acoustic_021-096-100,3,guitar
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",103,158349,acoustic,75,guitar_acoustic_014,263,16000,"['fast_decay', 'percussive']",0,guitar_acoustic_014-103-075,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",66,175702,electronic,25,keyboard_electronic_003,65,16000,[],1,keyboard_electronic_003-066-025,4,keyboard
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",101,299844,electronic,25,keyboard_electronic_002,50,16000,"['bright', 'fast_decay', 'percussive']",1,keyboard_electronic_002-101-025,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,277573,electronic,75,organ_electronic_104,921,16000,[],1,organ_electronic_104-029-075,6,organ
